"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"Antena ","lab","Ettus","Vert2450","S/S",340100020010,"JFT","Cubículo Dr Viktor ","-","PIFI","id_148"
"Antena ","lab","Ettus","Vert400","S/S",340100020044,"JFT","Cubículo Dr Calviño","-","FOMIX","id_149"
"Antena ","lab","Ettus","Vert401","S/S",340100020045,"JFT","Cubículo Dr Calviño","-","FOMIX","id_150"
"Tarjeta","lab","Ettus","URSP1","ECR25XCU1",350000012157,"JFT","Cubículo Dr Viktor ","-","PIFI","id_151"
"Tarjeta","lab","Ettus","URSP1","ECR25XDU1",350000012158,"JFT","Cubículo Dr Viktor ","-","PIFI","id_152"
"Tarjeta","lab","Ettus","RFX2400","EDR11Y5R2",350000012159,"JFT","Cubículo Dr Viktor ","-","PIFI","id_153"
"Tarjeta","lab","Ettus","RFX2400","EBR11YBR2",350000012160,"JFT","Cubículo Dr Viktor ","-","PIFI","id_154"
"Tarjeta","lab","Ettus","RFX2400","EER11YDR2",350000012161,"JFT","Cubículo Dr Viktor ","-","PIFI","id_155"
"Tarjeta","lab","Ettus","RFX2400","EBR11Y7R2",350000012162,"JFT","Cubículo Dr Viktor ","-","PIFI","id_156"
"Tarjeta","lab","Ettus","BasicTX","EFR01YETB",350000012199,"JFT","Cubículo Dr Viktor ","-","FOMIX","id_157"
"Tarjeta","lab","Ettus","BasicTX","E0R02Y9TB",3500000121100,"JFT","Cubículo Dr Viktor ","-","FOMIX","id_158"
"Tarjeta","lab","Ettus","BasicRx","E4R02Y3RB",3500000121101,"JFT","Cubículo Dr Viktor ","-","FOMIX","id_159"
"Tarjeta","lab","Ettus","BasicRx","EAR02Y9RB",3500000121102,"JFT","Cubículo Dr Viktor ","-","FOMIX","id_160"
"AccessPoint","net","Cisco","S/M","FTX-18476J1Q",3500000114161,"JFT","Techo de laboratorio","-","-","id_161"
"Servidor","net","Synology","DS1815PLUS","S/S",350000001819,"JFT","Site","-","FMX","id_162"
